Date,SP500 Close
1/2/2020,298.42
1/3/2020,296.24
1/6/2020,297.35
1/7/2020,296.53
1/8/2020,298.06
1/9/2020,300.12
1/10/2020,299.26
1/13/2020,301.24
1/14/2020,300.84
1/15/2020,301.51
1/16/2020,304.03
1/17/2020,305.06
1/21/2020,304.43
1/22/2020,304.51
1/23/2020,304.81
1/24/2020,302.03
1/27/2020,297.23
1/28/2020,300.45
1/29/2020,300.15
1/30/2020,301.09
1/31/2020,295.69
2/3/2020,297.84
2/4/2020,302.43
2/5/2020,305.85
2/6/2020,306.89
2/7/2020,305.33
2/10/2020,307.52
2/11/2020,308.08
2/12/2020,310.06
2/13/2020,309.76
2/14/2020,310.28
2/18/2020,309.43
2/19/2020,310.92
2/20/2020,309.7
2/21/2020,306.49
2/24/2020,296.24
2/25/2020,287.34
2/26/2020,286.07
2/27/2020,273.39
2/28/2020,271.74
3/2/2020,283.87
3/3/2020,276.04
3/4/2020,287.48
3/5/2020,277.85
3/6/2020,273.19
3/9/2020,252.11
3/10/2020,263.81
3/11/2020,250.73
3/12/2020,226.48
3/13/2020,247.64
3/16/2020,218.57
3/17/2020,232.88
3/18/2020,220.15
3/19/2020,220.34
3/20/2020,210.74
3/23/2020,204.27
3/24/2020,223.75
3/25/2020,226.62
3/26/2020,240.24
3/27/2020,232.86
3/30/2020,240.39
3/31/2020,236.82
4/1/2020,226.15
4/2/2020,231.44
4/3/2020,228.02
4/6/2020,243.53
4/7/2020,243.66
4/8/2020,251.93
4/9/2020,255.67
4/13/2020,253.19
4/14/2020,260.92
4/15/2020,255.24
4/16/2020,256.53
4/17/2020,263.61
4/20/2020,258.86
4/21/2020,250.95
4/22/2020,256.47
4/23/2020,256.42
4/24/2020,260.14
4/27/2020,263.9
4/28/2020,262.68
4/29/2020,269.45
4/30/2020,267.1
5/1/2020,259.82
5/4/2020,260.64
5/5/2020,263.04
5/6/2020,261.27
5/7/2020,264.36
5/8/2020,268.78
5/11/2020,268.82
5/12/2020,263.41
5/13/2020,258.74
5/14/2020,261.86
5/15/2020,263.04
5/18/2020,271.08
5/19/2020,268.52
5/20/2020,272.9
5/21/2020,270.94
5/22/2020,271.55
5/26/2020,275.04
5/27/2020,279.05
5/28/2020,278.5
5/29/2020,279.75
6/1/2020,280.97
6/2/2020,283.28
6/3/2020,287.02
6/4/2020,286.29
6/5/2020,293.61
6/8/2020,297.17
6/9/2020,295.06
6/10/2020,293.22
6/11/2020,276.32
6/12/2020,279.65
6/15/2020,282.2
6/16/2020,287.72
6/17/2020,286.4
6/18/2020,286.66
6/19/2020,284.97
6/22/2020,286.86
6/23/2020,288.16
6/24/2020,280.79
6/25/2020,283.76
6/26/2020,277.11
6/29/2020,279.7
6/30/2020,283.43
7/1/2020,285.37
7/2/2020,286.81
7/6/2020,291.26
7/7/2020,288.24
7/8/2020,290.38
7/9/2020,288.9
7/10/2020,291.8
7/13/2020,289.16
7/14/2020,293.03
7/15/2020,295.63
7/16/2020,294.77
7/17/2020,295.55
7/20/2020,298.01
7/21/2020,298.63
7/22/2020,300.33
7/23/2020,296.74
7/24/2020,294.82
7/27/2020,296.97
7/28/2020,295.13
7/29/2020,298.7
7/30/2020,297.61
7/31/2020,300.1
8/3/2020,301.99
8/4/2020,303.26
8/5/2020,305.15
8/6/2020,307.2
8/7/2020,307.36
8/10/2020,308.34
8/11/2020,305.85
8/12/2020,310.04
8/13/2020,309.51
8/14/2020,309.51
8/17/2020,310.51
8/18/2020,311.16
8/19/2020,309.84
8/20/2020,310.82
8/21/2020,311.93
8/24/2020,315.1
8/25/2020,316.2
8/26/2020,319.43
8/27/2020,320.07
8/28/2020,322.15
8/31/2020,321.02
9/1/2020,324.02
9/2/2020,328.74
9/3/2020,317.36
9/4/2020,314.82
9/8/2020,306.17
9/9/2020,312.21
9/10/2020,306.75
9/11/2020,306.98
9/14/2020,310.97
