DATE,SYY,TWTR,YUM
1/2/2020,84.66,32.3,102.17
1/3/2020,84.35,31.52,101.85
1/6/2020,84.24,31.64,101.79
1/7/2020,83.56,32.54,101.97
1/8/2020,84.53,33.05,102.15
1/9/2020,84.63,33.22,102.96
1/10/2020,84.92,32.78,101.69
1/13/2020,83.72,32.69,100.34
1/14/2020,82.4,32.82,100.72
1/15/2020,82.65,33.23,101.24
1/16/2020,82.66,34.19,102.16
1/17/2020,82.82,34.22,105.4
1/21/2020,83.23,34.09,105.6
1/22/2020,83.14,34.02,106.49
1/23/2020,83.59,33.89,105.98
1/24/2020,82.63,33.19,104.98
1/27/2020,82.34,32.78,104.39
1/28/2020,82.67,33.42,104.82
1/29/2020,81.89,33.63,106.63
1/30/2020,82.84,33.22,106.6
1/31/2020,82.14,32.48,105.77
2/3/2020,76.68,33.07,106.41
2/4/2020,75.06,33.96,106.71
2/5/2020,75.7,33.39,106.78
2/6/2020,76.62,38.41,103.74
2/7/2020,77.36,37.03,102.04
2/10/2020,76.96,35.96,102.87
2/11/2020,76.27,35.65,104.05
2/12/2020,77.46,36.79,105.34
2/13/2020,77.94,37.16,105.03
2/14/2020,78.21,36.91,105.28
2/18/2020,76.83,38.06,104.03
2/19/2020,76.2,38.77,105.19
2/20/2020,76.71,39.05,103.87
2/21/2020,77.04,38.31,103.51
2/24/2020,75.54,35.89,100.25
2/25/2020,74.05,35.21,97.95
2/26/2020,72.87,34.63,97.5
2/27/2020,69.68,33.01,92.67
2/28/2020,66.65,33.2,89.25
3/2/2020,69.68,35.82,92.53
3/3/2020,68.5,34.93,91.31
3/4/2020,70.65,36,94.63
3/5/2020,67.65,34.97,90.92
3/6/2020,66.95,33.46,89.4
3/9/2020,61.25,32.46,83.7
3/10/2020,62.42,34.31,86.78
3/11/2020,55.15,31.3,80.97
3/12/2020,43.51,26.78,78.45
3/13/2020,47.07,29.29,78.46
3/16/2020,37.75,24.04,69.83
3/17/2020,35.06,24.48,65.49
3/18/2020,31.24,22,60.69
3/19/2020,37.11,24.13,62.6
3/20/2020,35.33,23.95,58.08
3/23/2020,36.27,24.69,56.52
3/24/2020,38.98,25.85,69.66
3/25/2020,45.65,25.97,72.87
3/26/2020,53.48,26.41,75.75
3/27/2020,50.45,25.29,68.53
3/30/2020,46.35,25.59,70.67
3/31/2020,45.63,24.56,68.53
4/1/2020,41.87,23.32,67.65
4/2/2020,41.29,23.02,66.05
4/3/2020,39.5,23.09,63.3
4/6/2020,45.01,24.93,70.5
4/7/2020,46.07,25.61,71.35
4/8/2020,47.25,27.86,75.37
